ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
228896_at,0.01,0.03,3.28,6.81,1.15,5.8,2.98,0.01,2.51,0,2.12,7.86,0,0,2.62,0,3.98,3.84,1.73,2.75
228897_at,4.91,0.01,0,0.01,0,0.98,0.01,0.09,0,0,6.04,1.82,0.73,2.17,0,0,2.15,3.69,2.97,1.25
228898_s_at,380.1,471.56,606.26,492.49,432.54,842.81,764.06,591.49,223.77,269.03,106.55,214.37,244.82,392.92,100.73,214.68,561.38,457.26,539.05,557.7
228899_at,1.93,14.3,1.18,0.3,3.12,6.56,1.96,3.57,1.52,4.78,10.89,8.21,10.66,19.73,17.24,3.96,9.78,23.6,8.36,3.4
228900_at,58.66,184.53,18.89,0.02,60.94,54.91,49.47,117.07,174.86,87.88,208.02,173.68,151.34,193.89,123.67,102.49,55.95,369.27,0.03,215.45
228901_at,6,2.04,0,0,1.58,4.67,0,0.04,0.37,0,2.15,2.77,4.58,3.13,2.13,0.13,7.73,0.53,9.47,3.36
228902_at,0,0,1.45,4.34,3.57,0,1.5,0,0.19,0.02,10.63,4.39,6.39,5.78,2.61,1.81,0,6.24,10.48,0
228903_at,137.36,42.91,85.24,31.25,45.29,27.5,39.71,58.39,376.06,71.46,252.19,181,157.57,434.32,229.52,243.59,120.56,62.8,18.86,176.7
228904_at,693.84,564.97,604.49,90.6,764.98,565.92,407.99,672.39,537.28,394.45,634.56,705.9,689.57,1033.22,721.64,499.38,768.98,520.84,577.48,607.62
228905_at,8.18,108.97,132.8,35.05,96.24,146.6,2.32,2.69,14.8,0.94,7.55,21.23,99.13,19.17,12.58,84.06,49.75,75.54,64.61,2.92
228906_at,165.81,69.44,0.46,0.5,36.83,0.21,208.06,83.49,87.86,21.47,45.23,46.38,74.08,0.64,42.92,31.46,52.42,61.98,0.3,114.54
228907_at,862.09,411.54,1094.89,822.23,833.67,589.11,652.78,777.05,1143.78,641.41,379.55,958.5,19.28,678.2,333.77,632.86,532.57,667.68,879.22,1060.45
228908_s_at,9.59,0.36,3.22,3.89,0,0.01,0.35,0,2.23,1.74,7.39,0,0,4.83,3.53,3.8,6.44,5.17,2.95,3.24
228909_at,18.26,0,7.44,6.3,0.98,3.15,3.95,5.42,5.22,0.92,9.08,3.97,0.01,8.27,0,4.41,0.8,0.01,11.68,2.14
228910_at,9.87,6.85,3.07,13.47,2.75,6.37,8.53,0.22,2.3,5.16,5.48,6.57,1.16,3.73,2.1,0.59,5.13,5.06,3,3.17
228911_at,0,2.6,3.59,2.57,0.01,2.57,4.93,0.54,1.25,3.86,0,2.15,0,0.09,0.01,0,0,3.73,0.56,0.84
228912_at,5.87,12.1,4.33,3.1,2.91,18.25,6.39,4.8,5.2,2.61,3.35,3.52,10.77,5.21,15.86,3.26,2.95,1.18,1.08,0.65
228913_at,1.16,6.9,3.16,1.06,0,0,0.01,1.15,1.91,0.01,4.97,0,1.57,3.69,0.01,3.66,3.15,0,3.72,10.04
228914_at,25.94,24.45,23.54,18.54,27.02,9.34,30.03,48.48,39.85,34.66,22.9,28.92,3.45,61.38,0.01,11.21,2.84,1030.08,18.25,33.82
228915_at,4.13,0,5.84,0.01,0,2.42,6.82,6.21,0,6.23,0,3.94,7.01,0,0.01,2.95,0.01,0,0,0
228916_at,2.19,0,0,2.18,3.57,3.07,2.03,0,0.04,4.38,0,2.66,3.96,6.18,0.01,2.81,0,0.39,2.85,3.77
228917_at,1354,1330.07,1062.04,1120.09,1385.85,1409.36,1702.07,1152.87,1110.59,1213.08,1153.84,1378.8,1364.02,1054.23,1103.09,1049.14,1054.96,1223.6,963.46,1127.29
228918_at,3.29,3.05,4.45,4.87,0.14,0.16,6.42,11.82,0.15,2.52,7.01,28.12,0.18,0,3.35,1.39,0.01,0.02,0,6.29
