TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
35.8749,514.5198,36.2403,648.8919,27.51272,3091.905,17174.79,20704.86,69.97013,38992.9,242.3994,616.8328,2212.571,866.4828,33.8338,1168.258,251.6683,733.3262,3964.1,97.72404,10680.71,11387.71,46.20658,324.3603,35028.5,69.05446,78.16539,18.23296,253.4589,73.01871,0
28.00952,130.5541,24.40108,34.28832,21.68644,2591.281,3765.327,7367.575,435.7801,7200.47,313.0183,858.4847,78.4051,3156.506,64.4101,816.2041,681.8427,23.42061,2008.595,522.501,3526.821,4623.773,154.5048,405.1088,5800.245,36.79807,75.01057,93.84513,69.29436,54.98161,0
37.97635,22.76674,565.1251,19.69817,900.3928,3337.049,11426.66,30635.93,238.5054,57285.42,96.69753,999.127,4074.555,1696.14,248.4139,803.6182,109.5707,3614.295,4243.097,532.1954,9246.515,17816.32,104.0102,385.8531,61059.5,16.27924,281.6836,104.9921,20.72162,70.66887,0
10.21371,66.40511,36.82677,526.883,35.61552,13354.38,13715.29,18387.93,756.4569,23336.8,19.51613,550.512,13436.55,1178.268,276.7578,949.3441,196.9774,2986.705,6267.05,244.2306,9093.556,16388.66,21.82837,22.65179,27935.29,65.78851,301.6112,320.3707,34.84701,152.2319,0
420.791,183.4566,26.10209,311.9254,517.6931,3379.174,2924.057,18723.36,1032.347,22248.79,37.48184,770.5792,2064.543,1505.229,160.1111,1875.658,48.00352,32.91631,2544.393,244.7143,6283.458,7043.154,159.0813,35.65284,13932.46,274.4404,21.3733,248.8776,61.92718,255.1919,0
47.07507,278.1404,58.20532,685.7243,29.90584,4901.437,2104.276,13334.3,104.3267,12524.44,577.2615,1158.49,1897.177,278.4324,216.1804,1906.926,260.8131,1644.917,2703.751,544.4551,5958.699,4899.948,50.0341,739.3364,17918.8,62.29822,129.0782,33.9428,58.5037,47.27789,0
92.41049,28.12062,155.4379,12.71076,22.6211,5860.174,13125.12,16710.79,93.84228,15455.11,76.70439,397.5023,2735.719,1815.83,85.37179,17.14803,34.09604,38.1421,1074.698,341.8842,6959.638,8755.96,36.73429,33.6792,19892.72,641.7192,417.137,93.05346,292.2913,25.78421,0
118.843,14.31058,22.49299,142.7431,19.17974,7841.642,9310.77,12567.44,368.4429,19317.69,234.8345,759.4418,941.4438,726.3429,234.5571,1323.563,189.5012,663.0806,2965.352,8.683696,12365.3,7859.107,33.42892,52.14698,52767.22,37.4978,242.3112,98.45203,155.8594,10.34904,0
35.13247,93.06346,209.3012,391.6107,215.0408,3385.138,4398.973,40734.38,55.66645,23985.05,127.9522,1177.488,2376.922,2112.089,291.8058,2479.593,98.46227,892.3206,4070.162,534.2054,10190.76,12804.15,32.69721,246.3468,26166.57,54.65003,834.4034,34.6669,26.15706,30.14458,0
62.45955,84.01653,144.78,128.2229,63.88469,1032.82,57.6055,1149.951,244.743,1096.906,89.68734,1117.259,1044.64,1467.171,488.7206,682.488,431.1604,546.6561,316.2379,225.6901,579.0633,123.0318,254.9268,185.7757,104.4916,75.33803,55.9775,186.5653,139.0309,79.41429,0
